code,description,orgcode,parent,stage,monitoringcode,source_sheet,id,fieldname,displaylable,fieldtype,fieldorder,ismandatory,datatype,mindatalength,maxdatalength,isvisible,issearchable,isactive,categorycode,fieldcode,categorycodefrom,categorycodeto,fromorg,toorg,orglevel,canclose,dependenton,finalcategory,destination,field_name,display_label,field_type,data_type,is_mandatory,is_visible,is_searchable,is_active,field_order,clean_text
14.0,Mobile Number Portability (MNP),DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile number portability mnp
15.0,UCC related complaints,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ucc related complaint
16.0,Activation/Deactivation of Value Added Services without explicit consent,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activation deactivation value added service without explicit consent
17.0,Activation/Deactivation/Fault of Sim Card,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activation deactivation fault sim card
18.0,AADHAR Linking/Documents verification,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aadhar linking document verification
19.0,Tariff / Recharge issue / Billing issue of Postpaid,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff recharge issue billing issue postpaid
20.0,No Network Coverage,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,network coverage
21.0,Others,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
22.0,Pension not started / Pension stopped,DOTEL,3.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pension started pension stopped
23.0,Revision of Pension,DOTEL,3.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revision pension
24.0,Miscalculation in Pension,DOTEL,3.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,miscalculation pension
25.0,Adding beneficiary in PPO,DOTEL,3.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adding beneficiary ppo
26.0,Others,DOTEL,3.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
27.0,Delay in New BB Connection,DOTEL,4.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delay new connection
28.0,Landline working but Internet not working/Frequent disconnection,DOTEL,4.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,landline working internet working frequent disconnection
29.0,Billing issue,DOTEL,4.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,billing issue
30.0,Speed lower than committed,DOTEL,4.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,speed lower committed
31.0,Others,DOTEL,4.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
32.0,Delay or issue in providing New Telephone Connection/Shifting/Change of Name,DOTEL,5.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delay issue providing new telephone connection shifting change name
33.0,New Connection,DOTEL,5.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new connection
34.0,Delay  in disconnection/closure,DOTEL,5.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delay disconnection closure
35.0,Denial of rent rebate during fault,DOTEL,5.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,denial rent rebate fault
36.0,Telephone Faulty/dead,DOTEL,5.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,telephone faulty dead
37.0,Security Refund,DOTEL,5.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,security refund
38.0,Billing issue,DOTEL,5.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,billing issue
39.0,Telephone not working properly,DOTEL,5.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,telephone working properly
40.0,Others,DOTEL,5.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
41.0,Compensatory ground appointment,DOTEL,6.0,3.0,101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compensatory ground appointment
42.0,Pending any type of Bill/dues for payment,DOTEL,6.0,3.0,101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending type bill due payment
43.0,Issues related to Promotion,DOTEL,6.0,3.0,101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issue related promotion
44.0,Transfer/Posting,DOTEL,6.0,3.0,101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer posting
45.0,Pending Disciplinary/Vigilance matters,DOTEL,6.0,3.0,101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending disciplinary vigilance matter
46.0,Sexual harassment,DOTEL,6.0,3.0,101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sexual harassment
47.0,Misbehaviour/Harassment by any officer/staff,DOTEL,6.0,3.0,101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,misbehaviour harassment officer staff
48.0,Residential Service Telephone Connection,DOTEL,6.0,3.0,101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential service telephone connection
49.0,Health Hazard / Radiation Issue,DOTEL,7.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,health hazard radiation issue
50.0,Tower installation related fraud / Cheating,DOTEL,7.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower installation related fraud cheating
51.0,Employee Related Case,DOTEL,8.0,3.0,301.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,employee related case
52.0,Others,DOTEL,8.0,3.0,301.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
53.0,Mobile Related,DOTEL,9.0,3.0,2101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile related
54.0,Landline Related,DOTEL,9.0,3.0,2101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,landline related
55.0,Broaband / Internet related,DOTEL,9.0,3.0,2101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broaband internet related
56.0,TRAI Related,DOTEL,9.0,3.0,2101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trai related
57.0,General suggestion related to DoT / Policy,DOTEL,9.0,3.0,2101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general suggestion related dot policy
58.0,"Spectrum/License (2G, 3G, 4G)",DOTEL,9.0,3.0,2101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spectrum license
59.0,Spectrum/License (5G),DOTEL,9.0,3.0,2101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spectrum license
60.0,Others,DOTEL,9.0,3.0,2101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
61.0,Posts,DPOST,,1.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post
62.0,Delay/ Non - Delivery/Abstraction of Postal Articles,DPOST,61.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delay non delivery abstraction postal article
63.0,Pension Related,DPOST,61.0,2.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pension related
64.0,Financial Scheme Related,DPOST,61.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,financial scheme related
65.0,Insurance Related,DPOST,61.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insurance related
66.0,Employees Service Related,DPOST,61.0,2.0,199.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,employee service related
67.0,Allegation of Corruption/ Malpractices/Harassment,DPOST,61.0,2.0,301.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,allegation corruption malpractice harassment
68.0,Atrocities Against,DPOST,61.0,2.0,299.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atrocity
69.0,Aadhar and Post Office Passport Seva Kendra (POPSK) Related,DPOST,61.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aadhar post office passport seva kendra popsk related
70.0,E-commerce portal Related,DPOST,61.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commerce portal related
71.0,Philately Related,DPOST,61.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philately related
72.0,ePost Office Related,DPOST,61.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,epost office related
73.0,Land Related,DPOST,61.0,2.0,699.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,land related
74.0,Others/Misc.,DPOST,61.0,2.0,1799.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others misc
75.0,Domestic,DPOST,62.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic
76.0,International,DPOST,62.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international
77.0,Speed post letters,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,speed post letter
78.0,Speed post COD,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,speed post cod
79.0,Registered letters/Registered letters with acknowledgement,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,registered letter registered letter acknowledgement
80.0,Parcels/Registered Parcels,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parcel registered parcel
81.0,Express Parcel/ Business Parcel,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,express parcel business parcel
82.0,Express Parcel/ Business Parcel COD,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,express parcel business parcel cod
83.0,"Money Order (emo,imo etc.)",DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,money order emo imo etc
84.0,Insured Articless,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insured articless
85.0,Other premium BD Products,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premium product
86.0,Value Payable,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,value payable
87.0,Others,DPOST,75.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
88.0,Foreign Articles (inbound/outbound),DPOST,76.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foreign article inbound outbound
89.0,Delay in Pension,DPOST,63.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delay pension
90.0,Revision of Pension,DPOST,63.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revision pension
91.0,Miscalculation in Pension,DPOST,63.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,miscalculation pension
92.0,Adding beneficiary in PPO,DPOST,63.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adding beneficiary ppo
93.0,Others,DPOST,63.0,3.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
94.0,Public Provident Fund Account,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public provident fund account
95.0,Recurring Deposit,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recurring deposit
96.0,Monthly Income Scheme,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monthly income scheme
97.0,Savings Bank (SB/RD/TD/MIS/SCSS/Others),DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saving bank mi scss others
98.0,Sukanya Samriddhi,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sukanya samriddhi
99.0,Senior Citizen Savings Scheme,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senior citizen saving scheme
100.0,Time Deposit,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,time deposit
101.0,ATM Card Related,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atm card related
102.0,MNREGA Account,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mnrega account
103.0,National Savings Certificate VIII or IX,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national saving certificate viii
104.0,Kisan Vikas Patra,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kisan vikas patra
105.0,Indian Postal Order (IPO) Related,DPOST,64.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indian postal order ipo related
106.0,Closure/Premature Closure of account at Branch Post Office,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account branch post office
107.0,Closure/Premature Closure of account at Head Post Office,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account head post office
108.0,Closure/Premature Closure of account at Sub Post Office,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account sub post office
109.0,Issue of Dublicate Passbook,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issue dublicate passbook
110.0,Opening of account,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opening account
111.0,Return of Passbook,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return passbook
112.0,Settlement of deceased claim case with nomination,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,settlement deceased claim case nomination
113.0,Settlement of deceased claim case without nomination but with proof of,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,settlement deceased claim case without nomination proof
114.0,Transfer of account-Application given at PO where account stands,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer account application given account stand
115.0,Transfer of account-Application given at Transferee PO,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer account application given transferee
116.0,Others,DPOST,94.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
117.0,Closure/Premature Closure of account at Branch Post Office,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account branch post office
118.0,Closure/Premature Closure of account at Head Post Office,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account head post office
119.0,Closure/Premature Closure of account at Sub Post Office,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account sub post office
120.0,Issue of Dublicate Passbook,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issue dublicate passbook
121.0,Opening of account,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opening account
122.0,Return of Passbook,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return passbook
123.0,Settlement of deceased claim case with nomination,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,settlement deceased claim case nomination
124.0,Settlement of deceased claim case without nomination but with proof of,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,settlement deceased claim case without nomination proof
125.0,Transfer of account-Application given at PO where account stands,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer account application given account stand
126.0,Transfer of account-Application given at Transferee PO,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer account application given transferee
127.0,Others,DPOST,95.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
128.0,Closure/Premature Closure of account at Branch Post Office,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account branch post office
129.0,Closure/Premature Closure of account at Head Post Office,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account head post office
130.0,Closure/Premature Closure of account at Sub Post Office,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account sub post office
131.0,Issue of Dublicate Passbook,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issue dublicate passbook
132.0,Opening of account,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opening account
133.0,Return of Passbook,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return passbook
134.0,Settlement of deceased claim case with nomination,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,settlement deceased claim case nomination
135.0,Settlement of deceased claim case without nomination but with proof of,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,settlement deceased claim case without nomination proof
136.0,Transfer of account-Application given at PO where account stands,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer account application given account stand
137.0,Transfer of account-Application given at Transferee PO,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer account application given transferee
138.0,Others,DPOST,96.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
139.0,Closure/Premature Closure of account at Branch Post Office,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account branch post office
140.0,Closure/Premature Closure of account at Head Post Office,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account head post office
141.0,Closure/Premature Closure of account at Sub Post Office,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure premature closure account sub post office
142.0,Issue of Dublicate Passbook,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issue dublicate passbook
143.0,Opening of account,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opening account
144.0,Return of Passbook,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return passbook
145.0,Settlement of deceased claim case with nomination,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,settlement deceased claim case nomination
146.0,Settlement of deceased claim case without nomination but with proof of,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,settlement deceased claim case without nomination proof
147.0,Transfer of account-Application given at PO where account stands,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer account application given account stand
148.0,Transfer of account-Application given at Transferee PO,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer account application given transferee
149.0,Others,DPOST,97.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
150.0,Issuance Issues,DPOST,98.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuance issue
151.0,Payment Issues,DPOST,98.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,payment issue
152.0,Claim Cases Related,DPOST,98.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claim case related
153.0,Tansfer Case Related,DPOST,98.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tansfer case related
154.0,Others,DPOST,98.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
155.0,Issuance Issues,DPOST,99.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuance issue
156.0,Payment Issues,DPOST,99.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,payment issue
157.0,Claim Cases Related,DPOST,99.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claim case related
158.0,Tansfer Case Related,DPOST,99.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tansfer case related
159.0,Others,DPOST,99.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
160.0,Issuance Issues,DPOST,100.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuance issue
161.0,Payment Issues,DPOST,100.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,payment issue
162.0,Claim Cases Related,DPOST,100.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claim case related
163.0,Tansfer Case Related,DPOST,100.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tansfer case related
164.0,Others,DPOST,100.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
165.0,ATM Card Blocking,DPOST,101.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atm card blocking
166.0,PIN Issue/Re-issue of Debit Card,DPOST,101.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pin issue issue debit card
167.0,Payment of Wages to MNREGA workers,DPOST,102.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,payment wage mnrega worker
168.0,Others,DPOST,102.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
169.0,Encashment of Certificates at office of issue,DPOST,103.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encashment certificate office issue
170.0,Encashment of Certificates at other office,DPOST,103.0,4.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encashment certificate office
